headline,date,url,relevant_tickers,summary,source,wayback_url,matched_term,relevance_score
P&G's stock surges 1.9% premarket after Q4 results,08/10/2019,https://web.archive.org/web/20190810124958/https://www.marketwatch.com/investing/stock/pg,['PG'],,MarketWatch,https://web.archive.org/web/20190810124958/https://www.marketwatch.com/investing/stock/pg,P&G,2.8
P&G Posts Strong Sales Even as It Raises Prices,08/10/2019,https://web.archive.org/web/20190810124958/https://www.marketwatch.com/investing/stock/pg,['PG'],,MarketWatch,https://web.archive.org/web/20190810124958/https://www.marketwatch.com/investing/stock/pg,P&G,2.8
"P&G, in Search of New Markets, Is Going After Bugs",08/10/2019,https://web.archive.org/web/20190810124958/https://www.marketwatch.com/investing/stock/pg,['PG'],,MarketWatch,https://web.archive.org/web/20190810124958/https://www.marketwatch.com/investing/stock/pg,P&G,2.8
"Global Room Deodorants Market - Key Trends And Insights 2019 | Johnson & Johnson, Procter & Gamble Co., Unilever PLC",08/10/2019,https://web.archive.org/web/20190810124958/https://www.marketwatch.com/story/global-room-deodorants-market---key-trends-and-insights-2019-johnson-johnson-procter-gamble-co-unilever-plc-2019-08-01?mod=mw_quote_news,['PG'],,MarketWatch,https://web.archive.org/web/20190810124958/https://www.marketwatch.com/investing/stock/pg,Procter,2.8
"Global Manicure Or Pedicure Preparations Market | Johnson & Johnson, Procter & Gamble Co., Unilever PLC",08/10/2019,https://web.archive.org/web/20190810124958/https://www.marketwatch.com/story/global-manicure-or-pedicure-preparations-market-johnson-johnson-procter-gamble-co-unilever-plc-2019-08-01?mod=mw_quote_news,['PG'],,MarketWatch,https://web.archive.org/web/20190810124958/https://www.marketwatch.com/investing/stock/pg,Procter,2.8
"Global Shampoo Market | Johnson & Johnson, Procter & Gamble Co., Unilever PLC",08/10/2019,https://web.archive.org/web/20190810124958/https://www.marketwatch.com/story/global-shampoo-market-johnson-johnson-procter-gamble-co-unilever-plc-2019-08-01?mod=mw_quote_news,['PG'],,MarketWatch,https://web.archive.org/web/20190810124958/https://www.marketwatch.com/investing/stock/pg,Procter,2.8
Cramer makes the case for valuing Apple's stock like Procter & Gamble's,08/03/2018,https://web.archive.org/web/20180803065157/https://www.cnbc.com/mad-money/,['PG'],,CNBC,https://web.archive.org/web/20180803065157/https://www.cnbc.com/mad-money/,Procter,2.8
"PG is up 0.98% today,but where's it headed in August?",08/03/2018,https://web.archive.org/web/20180803145025/https://www.zacks.com/stock/quote/PG,['PG'],,Zacks,https://web.archive.org/web/20180803145025/https://www.zacks.com/stock/quote/PG,PG,2.8
What Analysts Recommend for P&G after Its Fiscal Q4 2018 Results,08/03/2018,https://web.archive.org/web/20180803145025/https://www.zacks.com/stock/quote/PG,['PG'],,Zacks,https://web.archive.org/web/20180803145025/https://www.zacks.com/stock/quote/PG,P&G,2.8
Dow Jones (DJIA) Today: Procter & Gamble (PG) Lower,08/01/2015,https://web.archive.org/web/20150801033152/http://www.thestreet.com/story/13240095/1/dow-jones-djia-today-procter-gamble-pg-lower.html?puc=TSMKTWATCH&cm_ven=TSMKTWATCH,['PG'],,MarketWatch,https://web.archive.org/web/20150801033152/http://www.marketwatch.com/investing/stock/pg,Procter,2.8
Procter & Gamble Shares The Rhythm at 2015 Cincinnati Music Festival,08/01/2015,http:///web/20150801033152/http://www.marketwatch.com/story/procter-gamble-shares-the-rhythm-at-2015-cincinnati-music-festival-2015-07-21,['PG'],,MarketWatch,https://web.archive.org/web/20150801033152/http://www.marketwatch.com/investing/stock/pg,Procter,2.8
"Stocks to Watch: Procter & Gamble, Blue Apron, Netflix, Citigroup, BlackRock",07/20/2017,https://web.archive.org/web/20170720085126/http://www.marketwatch.com:80/investing/stock/pg?,['PG'],,MarketWatch,https://web.archive.org/web/20170720085126/http://www.marketwatch.com:80/investing/stock/pg?,Procter,2.8
Procter & Gamble Declares Fresh Dividend; Yield Is 2.5%,07/16/2020,https://web.archive.org/web/20200716100310/https://finance.yahoo.com/quote/PG/news/,['PG'],,Yahoo Finance,https://web.archive.org/web/20200716100310/https://finance.yahoo.com/quote/PG/news/,Procter,2.8
Were Hedge Funds Right About Selling The Procter & Gamble Company (PG)?,07/16/2020,https://web.archive.org/web/20200716100310/https://finance.yahoo.com/quote/PG/news/,['PG'],,Yahoo Finance,https://web.archive.org/web/20200716100310/https://finance.yahoo.com/quote/PG/news/,Procter,2.8
Tesla Market Cap Nears Procter & Gamble’s,07/14/2020,https://web.archive.org/web/20200714231400/https://www.marketwatch.com/investing/stock/pg,['PG'],,MarketWatch,https://web.archive.org/web/20200714231400/https://www.marketwatch.com/investing/stock/pg,Procter,2.8
Why Procter & Gamble Stock Has Lost 15% in 2018,07/11/2018,https://web.archive.org/web/20180711112219/https://finance.yahoo.com/quote/pg,['PG'],,Yahoo Finance,https://web.archive.org/web/20180711112219/https://finance.yahoo.com/quote/pg,Procter,2.8
Procter & Gamble Stock: Analysts’ Ratings Trend,07/11/2018,https://web.archive.org/web/20180711112219/https://finance.yahoo.com/quote/pg,['PG'],,Yahoo Finance,https://web.archive.org/web/20180711112219/https://finance.yahoo.com/quote/pg,Procter,2.8
